date,time,commit,violations
2019-03-26,13:39:57,cab1d62705da66ba30848afc3bd41799308f5d9b,2
2019-03-27,09:48:33,a9167a1ee98534d70988faca44b36184909be0d7,2
2019-03-27,12:48:41,a3d92f36015c7e5d5c3653b8255ee4c825a071ef,2
2019-03-27,13:33:06,a56c9c7f97419cfdd81729fc399ddb2d9c7a5e76,2
2019-03-27,14:07:02,f265769bd96af0a39bb9d9d6eb611c636d866d47,2
2019-03-28,11:27:23,e105212d0986ea22192aefb6034b0cb328eb0ac4,2
2019-03-28,13:43:27,0ce8a58063a680342798175ab6adf04120b511c3,2
2019-03-29,13:17:09,4e7c48a1db0237940d061acf80a046c8b407f2d3,2
2019-04-01,14:25:21,95b783d25e3b7c0f98cd63a4b2f7a074dd0fcccb,2
2019-04-03,09:05:13,0e70ce3bf4a45cecc96a098873a13040bc04c30a,2
2019-04-03,12:50:20,6faacc1707f3702b022ec23d4aa944a16ecb422a,2
2019-04-09,11:38:18,4e7d1621236c3d8834ae6ccb2e8022b79b562778,2
2019-04-23,11:17:15,5ae5170a6b84112c16e02c4d2acbf70f40c4b4b4,2
2019-04-25,15:45:15,5b7a5c2897468e9179f3566a962cbc2f9390fb65,2
2019-05-14,14:00:58,71c857ac0dd06b951662b9cdae822b7773002ddb,2
2019-05-15,14:34:01,808d6f90ea6ebf5dfd38adaf35cc23beaafca68a,2
2019-05-17,10:29:52,bc23848abffeec58855b18263d0563a04534f4b0,2
2019-05-17,13:25:20,867dc9b315f42015838702370f9189ba27c27693,2
2019-05-23,15:38:02,9a953484aeb41f8ab8c8c367c1591e36de10e64c,2
2019-05-29,12:33:29,8a6f68730ee491c45702d49d810ab344f0e1ca22,2
2019-05-29,12:41:21,eadfe62221a6d08c6c00beaae7df3e6ee3968968,2
2019-05-29,12:45:17,8e77696479cc47bf988e01e8f6e635ad6d59a767,2
2019-05-29,12:48:25,439965d8f4b9d9ee160297e2cc145caec5a95aac,2
2019-05-29,12:52:05,1f96db35a6bc96acde119b46564d67de8e97a252,2
2019-05-29,12:56:13,c78b6987e1432c6c12137cf2fe167e30aa8828aa,2
2019-06-19,09:25:23,aa4d5586d30d320ff713f3014d1ef55516f36f3e,2
2019-06-19,11:11:17,2be548f424471fd6a156352d390b5595eb5a7c7f,2
2019-06-19,11:20:20,b6e90063094295bf7b320340ebe5decdcc8a881c,2
2019-06-20,09:44:42,7c2f1fcff0eb20858cf9f4c22606b704d2c2d894,2
2019-06-20,10:01:49,d9f77659292c04bc02d8ff018429e3ff2486704b,2
2019-06-27,07:45:41,72ab8fd7a95166669946dfd0ede70344804d14ea,2
2019-06-27,08:09:58,98479b3f6404211edc1a2a7f6ad974c1bcdd0784,2
2019-06-27,10:34:27,aad984e392c9adbf7c74eaa4207ba1b29f9f019e,2
2019-06-27,10:41:42,fa7cbef972bbbcc148c30757c1ba234dbd99a08f,2
2019-06-27,10:49:22,ab3285e473cebaec9a51830a07033d04e273b1fc,2
2019-07-03,09:40:51,1e1a76981d546dfdfa375dc12b7a3ae6c148878c,2
2019-07-14,14:47:31,418e85e7d0377ff51f98d07b1ad76ec94e027fb4,2
2019-08-04,12:51:50,84b2097c6d23bbbb078f225beb7525935f93e2cf,2
2019-08-11,13:03:32,001d644e46cd5bf55b8b14d2c596da92ac1d44bf,2
2019-08-18,12:29:57,ed7913b3805d9120ac8a83e2dffeb3588218fb88,2
2019-11-08,14:24:19,ecbef5856c54e58fcaa5f622939c4bb451ea71a2,2
2019-11-13,10:43:31,1d5eedcdb2b6153e6f7919eba6ec97ff9b5b4e0a,2
2019-11-15,14:12:01,294b48d2d58aa9e3dfbb10a14085629815f618bb,2
2019-11-21,12:35:12,68796f77d7adf21b1e85dd1a6d9fc9f205bb07e6,2
2020-01-03,11:08:07,02900d2fe9ca4fa5607f72a382f4f45f361aa8d3,2
2020-01-03,12:29:41,aab63ce201e08da31c37584fb7b14f03e5572c2a,2
